media_type=video|key_frame=1|pkt_pts=1626625|pkt_pts_time=54.220833|pkt_dts=1626625|pkt_dts_time=54.220833|best_effort_timestamp=1626625|best_effort_timestamp_time=54.220833|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2936867|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1639638|pkt_pts_time=54.654600|pkt_dts=1639638|pkt_dts_time=54.654600|best_effort_timestamp=1639638|best_effort_timestamp_time=54.654600|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2944189|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1641640|pkt_pts_time=54.721333|pkt_dts=1641640|pkt_dts_time=54.721333|best_effort_timestamp=1641640|best_effort_timestamp_time=54.721333|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2950807|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1646645|pkt_pts_time=54.888167|pkt_dts=1646645|pkt_dts_time=54.888167|best_effort_timestamp=1646645|best_effort_timestamp_time=54.888167|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2953408|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1647646|pkt_pts_time=54.921533|pkt_dts=1647646|pkt_dts_time=54.921533|best_effort_timestamp=1647646|best_effort_timestamp_time=54.921533|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2954309|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1648647|pkt_pts_time=54.954900|pkt_dts=1648647|pkt_dts_time=54.954900|best_effort_timestamp=1648647|best_effort_timestamp_time=54.954900|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2955296|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1650649|pkt_pts_time=55.021633|pkt_dts=1650649|pkt_dts_time=55.021633|best_effort_timestamp=1650649|best_effort_timestamp_time=55.021633|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=2956422|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=1711710|pkt_pts_time=57.057000|pkt_dts=1711710|pkt_dts_time=57.057000|best_effort_timestamp=1711710|best_effort_timestamp_time=57.057000|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=3072150|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=2822820|pkt_pts_time=94.094000|pkt_dts=2822820|pkt_dts_time=94.094000|best_effort_timestamp=2822820|best_effort_timestamp_time=94.094000|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=4748732|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
media_type=video|key_frame=1|pkt_pts=2942940|pkt_pts_time=98.098000|pkt_dts=2942940|pkt_dts_time=98.098000|best_effort_timestamp=2942940|best_effort_timestamp_time=98.098000|pkt_duration=1001|pkt_duration_time=0.033367|pkt_pos=4931708|pkt_size=N/A|width=468|height=360|pix_fmt=yuv420p|sample_aspect_ratio=1:1|pict_type=I|coded_picture_number=0|display_picture_number=0|interlaced_frame=0|top_field_first=0|repeat_pict=0
